Hero,Villain,Hero Win EQ,Hero Tie EQ,Villain Win EQ,Villain Tie EQ
AdAhAc,KdKhKc,89.03,0.48,10.49,0.48
AdAhAc,KdKhKs,88.73,0.44,10.83,0.44
AdAhAc,9d9h9c,88.1,0.16,11.74,0.16
KdKhKc,AdAhKs,75.22,0.76,24.02,0.76
KdKhKc,AsAhKs,73.08,0.71,26.21,0.71
QdQhQc,AdAhKs,76.99,0.41,22.61,0.41
JdJhJc,AdKhQs,93.41,0.33,6.27,0.33
JdJhJc,AdKhQs,93.44,0.36,6.21,0.36
JdJhJc,AdKdQd,84.67,0.27,15.06,0.27
JdJhJc,AsKsQs,83.57,0.23,16.2,0.23
JdJhJc,Ts9s8s,82.11,0.09,17.8,0.09
5d5h5c,Td9h8c,77.45,0.25,22.3,0.25
5d5h5c,Ts9s8s,72.14,0.19,27.68,0.19
5d5h5c,AdKhQc,86.59,0.19,13.21,0.19
5d5h5c,AsKsQs,79.33,0.09,20.59,0.09
2d2h2c,KhQcJd,81.46,0.34,18.2,0.34
AdAhQc,KdKhJc,71.26,0.42,28.32,0.42
AdAhJc,KdKhQc,71.19,0.39,28.42,0.39
AdAhQc,QdQhKc,74.77,0.69,24.55,0.69
AdAhKc,AsKhQc,84,3.29,12.71,3.29
AdAhKc,AsKsQs,61.92,2.38,35.71,2.38
AdAhQc,JdJh9c,68.96,0.32,30.72,0.32
AdAhKc,JdTh9c,64.17,0.28,35.55,0.28
AdAhKc,JdTh8c,68.63,0.29,31.08,0.29
AdAhKc,Ts8d6h,70.49,0.18,29.33,0.18
AdAhKc,JsTs9s,50.72,0.16,49.12,0.16
AdAhKc,JsTs9d,60.91,0.19,38.9,0.19
AdAhKc,JsTh9d,63.66,0.2,36.14,0.2
KdKhQc,JdJhAc,62.02,0.39,37.58,0.39
KdKhQc,JdThAc,68.99,0.31,30.7,0.31
QdQhJc,AdKhTc,61.76,0.34,37.91,0.34
JdJhTc,AdKhQc,55.58,0.35,44.08,0.35
JdJhAc,AdKhQc,53.84,1.35,44.8,1.35
JdJhQd,AdKhQc,57.53,0.72,41.76,0.72
AdKhQc,AsAhKc,12.84,3.42,83.74,3.42
AdKhQc,AsAhJc,16.5,1.1,82.41,1.1
AdKdQd,AsAhJc,37.59,0.72,61.7,0.72
AdKhQc,QsQhKd,36.18,3.15,60.67,3.15
AdKhQc,QsQhJc,44.39,0.6,55.01,0.6
AdKdQd,QsQhJc,57.74,0.43,41.84,0.43
AdKhQc,TsTh9c,47.32,0.2,52.48,0.2
AdKdQd,TsTh9c,58.21,0.15,41.64,0.15
AdKhQc,JsTh9c,52.84,0.3,46.87,0.3
AdKhQc,QsJhTc,54.89,0.83,44.28,0.83
AdKhQc,KsQhJc,67.18,3.17,29.65,3.17
AdKhQc,9s8h7c,57.61,0.23,42.16,0.23
Td9h8c,As2h3c,60.48,0.29,39.23,0.29
Td9h8c,AsKh2c,55.84,0.27,43.89,0.27
Td9h8c,AsKhTc,39.07,1.51,59.43,1.51
Td9d8d,As2h3c,69.48,0.32,30.19,0.32
Td9d8d,As2s3s,52.97,0.34,46.69,0.34
